topic	definition
T-ASN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
T-DPF	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
T-DPM	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
T-DPN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
T-DSF	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
T-DSM	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
T-DSN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
T-GPF	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
T-GPM	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
T-GPN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
T-GSF	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
T-GSM	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
T-GSN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
T-NPF	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
T-NPM	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
T-NPN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
T-NSF	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
T-NSM	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
T-NSN	<p><b>Part of Speech:</b> definite article</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2AAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2AAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2AAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2AAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-2AAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AAM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AAM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2AAM-2S-AP	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>Apocopated form</p>
V-2AAM-2S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-2AAM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AAM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AAN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p>
V-2AAO-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AAO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AAP-APF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-2AAP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2AAP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2AAP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2AAP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2AAP-DPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-2AAP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2AAP-DSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2AAP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2AAP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2AAP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2AAP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2AAP-GSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2AAP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-2AAP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2AAP-NPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-2AAP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2AAP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2AAP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2AAS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2AAS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2AAS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AAS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2AAS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AAS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2ADI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2ADI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2ADI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2ADI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2ADI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2ADM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2ADM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2ADM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2ADN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> iNfinitive</p>
V-2ADO-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2ADO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2ADP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2ADP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-2ADP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2ADP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2ADP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2ADP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2ADP-DPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-2ADP-GPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-2ADP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2ADP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-2ADP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2ADP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2ADP-GSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2ADP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-2ADP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2ADP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2ADS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2ADS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2ADS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2ADS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2ADS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AMI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2AMI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2AMI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AMI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2AMI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AMI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AMM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AMM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2AMN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> iNfinitive</p>
V-2AMP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2AMP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2AMP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
